industry_code,industry_name,year,enterprises,employees,labor_compensation,revenue,expenditure,gross_output,value_added,assets,fixed_assets,avg_employees_per_firm,avg_assets_per_firm,capital_labor_ratio,labor_productivity,capital_productivity_assets,capital_productivity_fixed,labor_cost_ratio,value_added_rate,profit_rate,asset_turnover
B,Mining and Quarrying,1981,942,39954,167478,17334,16895,16677,10076,9973,6310,42.4,10587,250,252,1.01,1.6,39.61,60.42,2.53,172.58
B,Mining and Quarrying,1986,880,27738,209787,18445,17955,18066,8677,19032,14321,31.5,21627,686,313,0.46,0.61,32.41,48.03,2.66,96.31
B,Mining and Quarrying,1991,964,16293,373163,22921,21539,22130,10814,31568,22109,16.9,32747,1938,664,0.34,0.49,28.23,48.87,6.03,71.66
B,Mining and Quarrying,1996,987,12599,457290,21767,20139,21196,10329,46749,24981,12.8,47364,3710,820,0.22,0.41,28.61,48.73,7.48,46.26
B,Mining and Quarrying,2001,812,8374,627697,23878,21349,22649,10084,38463,23879,10.3,47368,4593,1204,0.26,0.42,23.87,44.52,10.59,61.72
B,Mining and Quarrying,2006,497,4969,711728,21873,19259,20831,7802,21953,16878,10,44172,4418,1570,0.36,0.46,17.94,37.45,11.95,98.68
B,Mining and Quarrying,2011,432,4356,793370,28012,24016,27014,9839,18424,13816,10.1,42648,4230,2259,0.53,0.71,14.13,36.42,14.27,151.56
B,Mining and Quarrying,2016,290,3843,795502,23690,29291,22618,5601,37432,14956,13.3,129075,9740,1457,0.15,0.37,10.3,24.76,-23.64,62.88
B,Mining and Quarrying,2021,280,3334,837150,37788,25387,24342,4438,67927,17011,11.9,242595,20374,1331,0.07,0.26,10.57,18.23,32.82,36.32
D,Electricity and Gas Supply,1981,53,22600,270002,110635,87443,108540,55801,355638,325355,426.4,6710151,15736,2469,0.16,0.17,6.98,51.41,20.96,30.79
D,Electricity and Gas Supply,1986,83,31111,375197,143591,113761,140183,89890,535316,493852,374.8,6449590,17207,2889,0.17,0.18,10.26,64.12,20.77,26.33
D,Electricity and Gas Supply,1991,91,36329,741695,210589,177469,199627,117850,657823,597289,399.2,7228823,18107,3244,0.18,0.2,15.18,59.03,15.73,30.58
D,Electricity and Gas Supply,1996,120,35270,1133651,292910,254154,282993,167397,1029652,956267,293.9,8580434,29193,4746,0.16,0.18,15.73,59.15,13.23,28.07
D,Electricity and Gas Supply,2001,135,32297,1238863,371112,340872,333509,176060,1392811,1284775,239.2,10317115,43125,5451,0.13,0.14,11.73,52.79,8.15,26.21
D,Electricity and Gas Supply,2006,166,32147,1205791,526360,511938,416673,149507,1684054,1520601,193.7,10144904,52386,4651,0.09,0.1,7.57,35.88,2.74,30.6
D,Electricity and Gas Supply,2011,176,32572,1260374,742398,765535,594945,136210,1913793,1729215,185.1,10873824,58756,4182,0.07,0.08,5.36,22.89,-3.12,38.35
D,Electricity and Gas Supply,2016,675,33488,1255792,758766,693137,629822,241648,2326802,1748301,49.6,3447114,69482,7216,0.1,0.14,6.06,38.37,8.65,32.05
D,Electricity and Gas Supply,2021,2260,39166,1198012,865621,818835,695778,248016,2941599,2179279,17.3,1301592,75106,6332,0.08,0.11,5.5,35.65,5.4,28.92
E,Water Supply and Remediation,1981,546,18177,150182,15149,15676,13165,5161,61912,39305,33.3,113392,3406,284,0.08,0.13,17.41,39.2,-3.48,23.67
E,Water Supply and Remediation,1986,894,21918,184442,25764,23540,24861,9864,73239,62000,24.5,81923,3342,450,0.13,0.16,17.17,39.68,8.63,34.46
E,Water Supply and Remediation,1991,1058,23084,404588,29564,27483,27819,17031,145401,128688,21.8,137430,6299,738,0.12,0.13,33.98,61.22,7.04,20.07
E,Water Supply and Remediation,1996,2007,26134,603265,51751,48525,49510,30282,287163,261260,13,143081,10988,1159,0.11,0.12,32.49,61.16,6.23,17.65
E,Water Supply and Remediation,2001,2988,25220,738986,65137,60024,62279,35138,368110,324611,8.4,123196,14596,1393,0.1,0.11,29.62,56.42,7.85,17.21
E,Water Supply and Remediation,2006,4008,27809,723943,90399,83204,86121,39364,443941,397098,6.9,110764,15964,1415,0.09,0.1,23.12,45.71,7.96,19.92
E,Water Supply and Remediation,2011,5003,29978,702408,125386,113291,120696,46480,510894,449234,6,102117,17042,1550,0.09,0.1,17.58,38.51,9.65,24.05
E,Water Supply and Remediation,2016,5306,35742,672219,155978,139092,149434,56116,640830,530147,6.7,120775,17929,1570,0.09,0.11,16.15,37.55,10.83,23.57
E,Water Supply and Remediation,2021,6059,43283,688542,223034,206322,211071,65326,767998,635121,7.1,126753,17744,1509,0.09,0.1,13.36,30.95,7.49,28.12
C,Manufacturing,1981,91174,2196561,119977,2126323,2066685,2040079,536461,2051477,979389,24.1,22501,934,244,0.26,0.55,12.75,26.3,2.8,101.64
C,Manufacturing,1986,113258,2748256,171457,3513480,3281782,3342677,944621,2984620,1425177,24.3,26352,1086,344,0.32,0.66,14.36,28.26,6.59,116
C,Manufacturing,1991,140457,2665071,282385,5313884,4937103,4947395,1610722,6003652,3373922,19,42744,2253,604,0.27,0.48,15.24,32.56,7.09,86.37
C,Manufacturing,1996,154557,2523916,422139,7963548,7437926,7243853,2272141,10093269,5236258,16.3,65305,3999,900,0.23,0.43,14.32,31.37,6.6,76.67
C,Manufacturing,2001,141376,2426791,488353,10571633,10194000,7922983,2238779,16111047,7567116,17.2,113959,6639,923,0.14,0.3,11.41,28.26,3.57,63.12
C,Manufacturing,2006,148017,2695984,560194,20506965,18841001,13141877,3334521,21993595,8719436,18.2,148588,8158,1237,0.15,0.38,7.82,25.37,8.12,89.69
C,Manufacturing,2011,157243,2789018,629146,27358534,26037048,22456293,4302351,27082870,9359551,17.7,172236,9711,1543,0.16,0.46,6.6,19.16,4.83,98.13
C,Manufacturing,2016,161337,2964970,708863,27150651,24846873,17959478,5582931,34369929,11083208,18.4,213032,11592,1883,0.16,0.5,8.27,31.09,8.49,76.24
C,Manufacturing,2021,165610,3117210,882008,34454737,30408198,22586712,7900571,44907428,13836099,18.8,271164,14406,2535,0.18,0.57,8.83,34.98,11.74,73
F,Construction,1981,12541,422930,83146,167870,158344,172763,51454,174867,41934,33.7,13944,413,122,0.29,1.23,22.21,29.78,5.67,95.28
