industry_code,industry_name,indicator_id,indicator_name,unit,1981,1986,1991,1996,2001,2006,2011,2016,2021,change_2016_to_2021_pct
B,Mining and Quarrying,1,Number of enterprises (year-end),establishments,942.0,880.0,964.0,987.0,812.0,497.0,432.0,290.0,280.0,-3.45
B,Mining and Quarrying,2,Number of employees (year-end),persons,39954.0,27738.0,16293.0,12599.0,8374.0,4969.0,4356.0,3843.0,3334.0,-13.24
B,Mining and Quarrying,3,Average annual labour compensation per employed worker,NTD,167478.0,209787.0,373163.0,457290.0,627697.0,711728.0,793370.0,795502.0,837150.0,5.24
B,Mining and Quarrying,4,Total annual receipts of enterprises,million NTD,17334.0,18445.0,22921.0,21767.0,23878.0,21873.0,28012.0,23690.0,37788.0,59.51
B,Mining and Quarrying,5,Total annual expenditures of enterprises,million NTD,16895.0,17955.0,21539.0,20139.0,21349.0,19259.0,24016.0,29291.0,25387.0,-13.33
B,Mining and Quarrying,6,Total annual output of enterprises,million NTD,16677.0,18066.0,22130.0,21196.0,22649.0,20831.0,27014.0,22618.0,24342.0,7.62
B,Mining and Quarrying,7,Gross value added of enterprises,million NTD,10076.0,8677.0,10814.0,10329.0,10084.0,7802.0,9839.0,5601.0,4438.0,-20.76
B,Mining and Quarrying,8,Net assets in actual use (year-end),million NTD,9973.0,19032.0,31568.0,46749.0,38463.0,21953.0,18424.0,37432.0,67927.0,81.47
B,Mining and Quarrying,9,Net fixed assets in actual use (year-end),million NTD,6310.0,14321.0,22109.0,24981.0,23879.0,16878.0,13816.0,14956.0,17011.0,13.74
B,Mining and Quarrying,10(1),Average number of employees per enterprise,persons,42.4,31.5,16.9,12.8,10.3,10.0,10.1,13.3,11.9,-10.15
B,Mining and Quarrying,10(2),Average assets in actual use per enterprise,thousand NTD,10587.0,21627.0,32747.0,47364.0,47368.0,44172.0,42648.0,129075.0,242595.0,87.95
B,Mining and Quarrying,11,Labour equipment ratio,thousand NTD,250.0,686.0,1938.0,3710.0,4593.0,4418.0,4230.0,9740.0,20374.0,109.18
B,Mining and Quarrying,12,Labour productivity,thousand NTD,252.0,313.0,664.0,820.0,1204.0,1570.0,2259.0,1457.0,1331.0,-8.65
B,Mining and Quarrying,13(1),Gross value added per NTD of assets in actual use,NTD,1.01,0.46,0.34,0.22,0.26,0.36,0.53,0.15,0.07,-56.33
B,Mining and Quarrying,13(2),Gross value added per NTD of fixed assets in actual use,NTD,1.6,0.61,0.49,0.41,0.42,0.46,0.71,0.37,0.26,-30.34
B,Mining and Quarrying,14,Labour compensation as % of total expenditures,%,39.61,32.41,28.23,28.61,23.87,17.94,14.13,10.3,10.57,0.27
B,Mining and Quarrying,15(1),Value-added ratio,%,60.42,48.03,48.87,48.73,44.52,37.45,36.42,24.76,18.23,-6.53
B,Mining and Quarrying,15(2),Profit ratio,%,2.53,2.66,6.03,7.48,10.59,11.95,14.27,-23.64,32.82,56.46
B,Mining and Quarrying,15(3),Asset turnover ratio,%,172.58,96.31,71.66,46.26,61.72,98.68,151.56,62.88,36.32,-26.56
D,Electricity and Gas Supply,1,Number of enterprises (year-end),establishments,53.0,83.0,91.0,120.0,135.0,166.0,176.0,675.0,2260.0,234.81
D,Electricity and Gas Supply,2,Number of employees (year-end),persons,22600.0,31111.0,36329.0,35270.0,32297.0,32147.0,32572.0,33488.0,39166.0,16.96
D,Electricity and Gas Supply,3,Average annual labour compensation per employed worker,NTD,270002.0,375197.0,741695.0,1133651.0,1238863.0,1205791.0,1260374.0,1255792.0,1198012.0,-4.6
D,Electricity and Gas Supply,4,Total annual receipts of enterprises,million NTD,110635.0,143591.0,210589.0,292910.0,371112.0,526360.0,742398.0,758766.0,865621.0,14.08
D,Electricity and Gas Supply,5,Total annual expenditures of enterprises,million NTD,87443.0,113761.0,177469.0,254154.0,340872.0,511938.0,765535.0,693137.0,818835.0,18.13
D,Electricity and Gas Supply,6,Total annual output of enterprises,million NTD,108540.0,140183.0,199627.0,282993.0,333509.0,416673.0,594945.0,629822.0,695778.0,10.47
